2026/03/15 10:59:31 no config path specified; using /var/lib/derper/derper.key
2026/03/15 10:59:31 STUN server listening on [::]:3478
2026/03/15 10:59:31 No mesh key configured
2026/03/15 10:59:31 derper: serving on :3340 with TLS
2026/03/15 10:59:35 http: TLS handshake error from 10.20.0.20:56496: unexpected EOF
gc 1 @4.103s 0%: 0.45+0.81+0.034 ms clock, 7.3+0.61/1.3/0+0.55 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @4.105s 0%: 0.20+0.72+0.17 ms clock, 3.2+0.96/1.1/0+2.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @4.106s 0%: 0.21+2.2+0.35 ms clock, 3.3+0.87/0.96/0+5.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @4.110s 0%: 0.14+0.68+0.25 ms clock, 2.3+0.73/0.89/0.061+4.1 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @4.112s 0%: 0.18+0.56+0.15 ms clock, 2.9+0.57/0.95/0+2.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @4.113s 0%: 0.18+0.68+0.20 ms clock, 2.9+0.88/0.91/0+3.2 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @4.115s 0%: 0.20+0.55+0.17 ms clock, 3.2+0.67/0.82/0+2.8 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @4.117s 0%: 0.21+0.75+0.14 ms clock, 3.4+0.74/0.94/0+2.2 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @4.118s 0%: 0.20+0.71+0.19 ms clock, 3.2+0.83/1.0/0+3.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @4.120s 0%: 0.23+0.61+0.23 ms clock, 3.8+0.60/0.95/0+3.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @4.122s 0%: 0.14+0.51+0.10 ms clock, 2.3+0.58/0.90/0.012+1.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @4.123s 0%: 0.16+0.54+0.17 ms clock, 2.7+0.55/0.84/0+2.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @4.125s 0%: 0.14+0.66+0.092 ms clock, 2.3+0.66/0.98/0+1.4 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
