Linux 6.12.74+deb13+1-cloud-amd64 (ip-10-20-0-10) 	03/15/26 	_x86_64_	(8 CPU)

13:28:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:14     all    0.63    0.00    0.38   46.84    0.00    0.00    0.00    0.00    0.00   52.15
13:28:14       0    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
13:28:14       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:14       2    2.00    0.00    2.00   75.00    0.00    0.00    0.00    0.00    0.00   21.00
13:28:14       3    1.02    0.00    0.00   94.90    0.00    0.00    0.00    0.00    0.00    4.08
13:28:14       4    1.00    0.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00   85.00
13:28:14       5    0.00    0.00    1.01   91.92    0.00    0.00    0.00    0.00    0.00    7.07
13:28:14       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:14       7    1.03    0.00    0.00   92.78    0.00    0.00    0.00    0.00    0.00    6.19

13:28:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:15     all    0.00    0.00    0.25   49.37    0.00    0.00    0.00    0.00    0.00   50.38
13:28:15       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:15       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:15       2    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
13:28:15       3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
13:28:15       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:15       5    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
13:28:15       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:15       7    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00

13:28:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:16     all    0.38    0.00    0.38   47.86    0.00    0.25    0.00    0.00    0.00   51.13
13:28:16       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:16       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:16       2    0.00    0.00    0.00   91.84    0.00    1.02    0.00    0.00    0.00    7.14
13:28:16       3    1.98    0.00    0.99   97.03    0.00    0.00    0.00    0.00    0.00    0.00
13:28:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:16       5    1.03    0.00    1.03   97.94    0.00    0.00    0.00    0.00    0.00    0.00
13:28:16       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:16       7    0.00    0.00    1.01   97.98    0.00    1.01    0.00    0.00    0.00    0.00

13:28:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:17     all    0.25    0.00    0.38   46.80    0.00    0.25    0.00    0.00    0.00   52.32
13:28:17       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:17       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:17       2    0.00    0.00    0.99   81.19    0.00    1.98    0.00    0.00    0.00   15.84
13:28:17       3    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
13:28:17       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:17       5    1.03    0.00    1.03   97.94    0.00    0.00    0.00    0.00    0.00    0.00
13:28:17       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:17       7    0.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00    0.00    1.00

13:28:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:18     all    0.13    0.00    0.50   48.87    0.00    0.50    0.00    0.00    0.00   50.00
13:28:18       0    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
13:28:18       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:18       2    0.00    0.00    0.99   96.04    0.00    2.97    0.00    0.00    0.00    0.00
13:28:18       3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
13:28:18       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:18       5    0.00    0.00    2.06   97.94    0.00    0.00    0.00    0.00    0.00    0.00
13:28:18       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:18       7    0.99    0.00    0.99   97.03    0.00    0.99    0.00    0.00    0.00    0.00

13:28:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:19     all    0.00    0.00    0.51   48.93    0.00    0.13    0.00    0.00    0.00   50.44
13:28:19       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:19       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:19       2    0.00    0.00    1.01   97.98    0.00    1.01    0.00    0.00    0.00    0.00
13:28:19       3    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
13:28:19       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:19       5    0.00    0.00    2.08   97.92    0.00    0.00    0.00    0.00    0.00    0.00
13:28:19       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:19       7    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00

13:28:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:20     all    0.00    0.00    0.13   48.74    0.00    0.00    0.00    0.00    0.00   51.14
13:28:20       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:20       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:20       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:20       3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
13:28:20       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:28:20       5    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
13:28:20       6    0.00    0.00    0.00   94.95    0.00    0.00    0.00    0.00    0.00    5.05
13:28:20       7    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00

13:28:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:28:21     all    0.00    0.00    0.25   49.43    0.00    0.00    0.00    0.00    0.00   50.32
