Linux 6.12.74+deb13+1-cloud-amd64 (ip-10-20-0-10) 	03/15/26 	_x86_64_	(8 CPU)

12:58:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:43     all    3.13    0.00    5.61   39.03    0.00    3.13    0.00    0.00    0.00   49.09
12:58:43       0    1.03    0.00    0.00    9.28    0.00    2.06    0.00    0.00    0.00   87.63
12:58:43       1    7.61    0.00   18.48   61.96    0.00    1.09    0.00    0.00    0.00   10.87
12:58:43       2    6.45    0.00   10.75   62.37    0.00    1.08    0.00    0.00    0.00   19.35
12:58:43       3    5.26    0.00    6.32   45.26    0.00    7.37    0.00    0.00    0.00   35.79
12:58:43       4    1.03    0.00    2.06   45.36    0.00    6.19    0.00    0.00    0.00   45.36
12:58:43       5    1.03    0.00    2.06   34.02    0.00    3.09    0.00    0.00    0.00   59.79
12:58:43       6    0.00    0.00    1.04   19.79    0.00    0.00    0.00    0.00    0.00   79.17
12:58:43       7    3.03    0.00    5.05   36.36    0.00    4.04    0.00    0.00    0.00   51.52

12:58:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:44     all    2.98    0.00    7.25   35.23    0.00    5.05    0.00    0.00    0.00   49.48
12:58:44       0    1.02    0.00    5.10    7.14    0.00    2.04    0.00    0.00    0.00   84.69
12:58:44       1    2.15    0.00    5.38   34.41    0.00    2.15    0.00    0.00    0.00   55.91
12:58:44       2    5.75    0.00   11.49   62.07    0.00    1.15    0.00    0.00    0.00   19.54
12:58:44       3    6.00    0.00   10.00   43.00    0.00   11.00    0.00    0.00    0.00   30.00
12:58:44       4    4.76    0.00   13.33   47.62    0.00   13.33    0.00    0.00    0.00   20.95
12:58:44       5    2.08    0.00    7.29   46.88    0.00    4.17    0.00    0.00    0.00   39.58
12:58:44       6    2.08    0.00    3.12   16.67    0.00    1.04    0.00    0.00    0.00   77.08
12:58:44       7    0.00    0.00    2.06   25.77    0.00    4.12    0.00    0.00    0.00   68.04

12:58:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:45     all    2.65    0.00    6.08   36.51    0.00    4.50    0.00    0.00    0.00   50.26
12:58:45       0    1.03    0.00    3.09   10.31    0.00    2.06    0.00    0.00    0.00   83.51
12:58:45       1    0.00    0.00    1.04   15.62    0.00    0.00    0.00    0.00    0.00   83.33
12:58:45       2    3.41    0.00   12.50   63.64    0.00    3.41    0.00    0.00    0.00   17.05
