Linux 6.12.74+deb13+1-cloud-amd64 (ip-10-20-0-10) 	03/15/26 	_x86_64_	(8 CPU)

12:46:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:11     all    0.25    0.00    0.50    0.00    0.00    0.13    0.00    0.00    0.00   99.12
12:46:11       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:11       1    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
12:46:11       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:11       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:11       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:46:11       5    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:46:11       6    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
12:46:11       7    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99

12:46:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:12       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:13     all    0.76    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.49
12:46:13       0    1.96    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.00   95.10
12:46:13       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:13       2    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
12:46:13       3    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97
12:46:13       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:13       5    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:46:13       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:13       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:14     all    1.01    0.00    0.51    0.00    0.00    0.13    0.00    0.00    0.00   98.36
12:46:14       0    0.00    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   97.94
12:46:14       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:14       2    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97
12:46:14       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:14       5    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:46:14       6    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:46:14       7    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05

12:46:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:15     all    0.76    0.00    0.63    0.38    0.00    0.00    0.00    0.00    0.00   98.22
12:46:15       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:15       1    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:46:15       2    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
12:46:15       3    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:46:15       4    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
12:46:15       5    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
12:46:15       6    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
12:46:15       7    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01

12:46:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:16     all    0.63    0.00    0.76    0.00    0.00    0.13    0.00    0.00    0.00   98.48
12:46:16       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:16       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:16       2    3.03    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   91.92
12:46:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:16       5    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:46:16       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:16       7    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94

12:46:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:17     all    0.51    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.98
12:46:17       0    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
12:46:17       1    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
12:46:17       2    1.09    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   97.83
12:46:17       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:17       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:17       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:17       6    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:46:17       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:18     all    0.51    0.00    0.25    0.00    0.00    0.38    0.00    0.00    0.00   98.85
12:46:18       0    0.00    0.00    0.00    0.00    0.00    1.05    0.00    0.00    0.00   98.95
12:46:18       1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:46:18       2    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
12:46:18       3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
12:46:18       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:46:18       5    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
12:46:18       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:18       7    1.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.92

12:46:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:19     all    0.89    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   98.48
12:46:19       0    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
12:46:19       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:19       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:19       3    2.08    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   96.88
12:46:19       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:46:19       5    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
12:46:19       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:19       7    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98

12:46:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:20       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:21       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:22     all    0.00    0.00    0.00    0.00    0.00    0.13    0.00    0.00    0.00   99.87
12:46:22       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:22       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:22       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:22       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:22       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:22       5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
12:46:22       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:22       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:23     all    0.38    0.00    0.26    0.00    0.00    0.13    0.00    0.00    0.00   99.23
12:46:23       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:23       1    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:46:23       2    1.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.94
12:46:23       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:23       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:23       5    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
12:46:23       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:23       7    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92

12:46:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:24     all    0.38    0.00    0.38    0.00    0.00    0.25    0.00    0.00    0.00   98.98
12:46:24       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:24       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:24       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:24       3    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
12:46:24       4    0.00    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   98.94
12:46:24       5    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
12:46:24       6    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
12:46:24       7    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96

12:46:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:25     all    0.51    0.00    0.38    0.00    0.00    0.13    0.00    0.00    0.00   98.98
12:46:25       0    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
12:46:25       1    2.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.89
12:46:25       2    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
12:46:25       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:25       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:25       5    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
12:46:25       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:25       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:46:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:26     all    0.64    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   98.73
12:46:26       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
12:46:26       1    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
12:46:26       2    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:46:26       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:46:26       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:26       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:26       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:26       7    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97

12:46:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:27     all    1.01    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   98.23
12:46:27       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:27       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:46:27       2    1.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.96
12:46:27       3    1.05    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   96.84
