Linux 6.12.74+deb13+1-cloud-amd64 (ip-10-20-0-10) 	03/15/26 	_x86_64_	(8 CPU)

12:16:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:46     all    8.39    0.00    3.61    0.00    0.00    4.26    0.00    0.00    0.00   83.74
12:16:46       0    9.09    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   84.85
12:16:46       1    6.38    0.00    2.13    0.00    0.00    1.06    0.00    0.00    0.00   90.43
12:16:46       2    8.91    0.00    3.96    0.00    0.00    6.93    0.00    0.00    0.00   80.20
12:16:46       3    8.42    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   87.37
12:16:46       4    8.82    0.00    3.92    0.00    0.00   10.78    0.00    0.00    0.00   76.47
12:16:46       5    7.37    0.00    4.21    0.00    0.00    3.16    0.00    0.00    0.00   85.26
12:16:46       6    6.52    0.00    4.35    0.00    0.00    5.43    0.00    0.00    0.00   83.70
12:16:46       7   11.34    0.00    2.06    0.00    0.00    4.12    0.00    0.00    0.00   82.47

12:16:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:47     all    8.49    0.00    5.48    0.00    0.00    5.74    0.00    0.00    0.00   80.29
12:16:47       0    9.68    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   86.02
12:16:47       1   10.53    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   83.16
12:16:47       2    8.82    0.00    6.86    0.00    0.00   11.76    0.00    0.00    0.00   72.55
12:16:47       3    9.47    0.00    6.32    0.00    0.00    2.11    0.00    0.00    0.00   82.11
12:16:47       4    4.08    0.00    5.10    0.00    0.00   10.20    0.00    0.00    0.00   80.61
12:16:47       5    8.60    0.00    7.53    0.00    0.00    4.30    0.00    0.00    0.00   79.57
12:16:47       6    8.51    0.00    3.19    0.00    0.00    9.57    0.00    0.00    0.00   78.72
12:16:47       7    8.33    0.00    4.17    0.00    0.00    7.29    0.00    0.00    0.00   80.21

12:16:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:48     all    8.39    0.00    5.50    0.00    0.00    5.64    0.00    0.00    0.00   80.47
12:16:48       0    8.25    0.00    9.28    0.00    0.00    2.06    0.00    0.00    0.00   80.41
12:16:48       1    9.57    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   84.04
12:16:48       2   10.20    0.00    4.08    0.00    0.00    7.14    0.00    0.00    0.00   78.57
12:16:48       3    7.45    0.00    3.19    0.00    0.00    3.19    0.00    0.00    0.00   86.17
12:16:48       4    9.38    0.00    6.25    0.00    0.00    6.25    0.00    0.00    0.00   78.12
12:16:48       5    7.45    0.00    4.26    0.00    0.00    6.38    0.00    0.00    0.00   81.91
12:16:48       6    8.08    0.00    4.04    0.00    0.00   16.16    0.00    0.00    0.00   71.72
12:16:48       7    6.59    0.00    6.59    0.00    0.00    3.30    0.00    0.00    0.00   83.52

12:16:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:49     all    6.86    0.00    4.71    0.00    0.00    5.52    0.00    0.00    0.00   82.91
12:16:49       0    8.60    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   88.17
12:16:49       1    6.32    0.00    8.42    0.00    0.00    1.05    0.00    0.00    0.00   84.21
12:16:49       2    5.81    0.00    3.49    0.00    0.00    4.65    0.00    0.00    0.00   86.05
12:16:49       3    8.89    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   87.78
12:16:49       4    8.60    0.00    3.23    0.00    0.00    7.53    0.00    0.00    0.00   80.65
12:16:49       5    5.38    0.00    5.38    0.00    0.00    7.53    0.00    0.00    0.00   81.72
12:16:49       6    5.05    0.00    6.06    0.00    0.00   16.16    0.00    0.00    0.00   72.73
12:16:49       7    6.38    0.00    4.26    0.00    0.00    6.38    0.00    0.00    0.00   82.98

12:16:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:50     all    9.70    0.00    5.24    0.26    0.00    4.19    0.00    0.00    0.00   80.60
12:16:50       0   13.54    0.00    3.12    0.00    0.00    2.08    0.00    0.00    0.00   81.25
