2026/03/15 12:56:58 no config path specified; using /var/lib/derper/derper.key
2026/03/15 12:56:58 STUN server listening on [::]:3478
2026/03/15 12:56:58 No mesh key configured
2026/03/15 12:56:58 derper: serving on :3340 with TLS
2026/03/15 12:57:02 http: TLS handshake error from 10.20.0.20:57436: unexpected EOF
gc 1 @4.059s 0%: 0.59+0.68+0.11 ms clock, 4.7+0.87/0.80/0.087+0.89 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @4.062s 0%: 0.13+0.91+0.019 ms clock, 1.1+0.83/1.0/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @4.064s 0%: 0.10+0.80+0.14 ms clock, 0.87+0.97/1.0/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @4.066s 0%: 0.13+0.83+0.094 ms clock, 1.0+1.1/1.0/0+0.75 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @4.069s 0%: 0.16+0.79+0.11 ms clock, 1.2+0.93/1.0/0+0.92 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @4.071s 0%: 0.12+0.92+0.11 ms clock, 0.99+0.94/0.90/0+0.94 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @4.074s 0%: 0.17+0.87+0.10 ms clock, 1.3+0.87/0.99/0+0.85 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @4.076s 0%: 0.13+0.64+0.13 ms clock, 1.0+0.85/0.75/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @4.079s 0%: 0.098+0.89+0.082 ms clock, 0.79+0.91/0.77/0+0.66 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @4.082s 0%: 0.12+0.57+0.068 ms clock, 0.96+0.77/0.69/0+0.55 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @4.084s 0%: 0.11+0.62+0.092 ms clock, 0.89+0.73/0.79/0+0.73 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @4.087s 0%: 0.11+0.58+0.095 ms clock, 0.95+0.72/0.82/0+0.76 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @4.089s 0%: 0.10+0.60+0.089 ms clock, 0.84+0.84/0.71/0+0.71 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @4.092s 0%: 0.13+0.90+0.12 ms clock, 1.0+0.71/0.89/0+0.99 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @4.094s 0%: 0.083+0.67+0.10 ms clock, 0.66+0.86/0.81/0+0.86 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @4.097s 0%: 0.12+0.95+0.089 ms clock, 1.0+0.71/0.80/0+0.71 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
