2026/03/17 11:00:50 no config path specified; using /var/lib/derper/derper.key
2026/03/17 11:00:50 STUN server listening on [::]:3478
2026/03/17 11:00:50 No mesh key configured
2026/03/17 11:00:50 derper: serving on :3340 with TLS
2026/03/17 11:00:54 http: TLS handshake error from 10.50.0.2:57520: unexpected EOF
gc 1 @4.036s 0%: 0.54+1.2+0.021 ms clock, 6.5+0.83/1.1/0.21+0.25 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 2 @4.039s 0%: 0.13+2.3+0.16 ms clock, 1.5+1.1/1.2/0+2.0 ms cpu, 3->5->3 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 3 @4.044s 0%: 0.16+1.8+0.089 ms clock, 1.9+1.0/1.0/0+1.0 ms cpu, 5->6->2 MB, 6 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 4 @4.048s 0%: 0.14+1.1+0.15 ms clock, 1.6+1.0/1.3/0+1.8 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 5 @4.051s 0%: 0.11+0.93+0.13 ms clock, 1.3+1.4/0.92/0+1.6 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 6 @4.053s 0%: 0.11+0.75+0.18 ms clock, 1.4+1.0/1.0/0+2.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 7 @4.056s 0%: 0.25+0.60+0.14 ms clock, 3.0+0.85/0.96/0+1.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 8 @4.058s 0%: 0.22+0.69+0.085 ms clock, 2.6+1.1/1.0/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 9 @4.060s 0%: 0.11+1.6+0.050 ms clock, 1.4+0.95/0.84/0+0.60 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 10 @4.064s 0%: 0.14+1.8+0.10 ms clock, 1.7+0.87/0.80/0+1.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 11 @4.067s 0%: 0.10+1.2+0.21 ms clock, 1.2+0.87/1.4/0+2.5 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 12 @4.070s 0%: 0.12+0.74+0.077 ms clock, 1.5+1.0/0.95/0+0.92 ms cpu, 4->4->1 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 13 @4.072s 0%: 0.13+0.73+0.15 ms clock, 1.6+0.77/0.83/0+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 14 @4.075s 0%: 0.13+1.3+0.12 ms clock, 1.6+0.89/0.91/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 15 @4.078s 0%: 0.13+1.3+0.077 ms clock, 1.5+0.81/0.83/0+0.92 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 16 @4.081s 0%: 0.13+0.52+0.19 ms clock, 1.6+0.84/0.82/0+2.3 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 17 @4.083s 0%: 0.10+1.2+0.19 ms clock, 1.2+1.0/0.76/0+2.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 18 @4.086s 0%: 0.14+0.59+0.14 ms clock, 1.7+1.2/0.74/0+1.7 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
