Linux 6.12.74+deb13+1-amd64 (hd-test01) 	03/17/2026 	_x86_64_	(12 CPU)

01:41:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:02 PM  all    0.50    0.00    0.42   32.13    0.00    0.00    0.00    0.00    0.00   66.95
01:41:02 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:02 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:02 PM    2    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
01:41:02 PM    3    1.01    0.00    1.01   59.60    0.00    0.00    0.00    0.00    0.00   38.38
01:41:02 PM    4    1.01    0.00    0.00   37.37    0.00    0.00    0.00    0.00    0.00   61.62
01:41:02 PM    5    1.01    0.00    1.01   88.89    0.00    0.00    0.00    0.00    0.00    9.09
01:41:02 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:02 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:02 PM    8    1.02    0.00    1.02   97.96    0.00    0.00    0.00    0.00    0.00    0.00
01:41:02 PM    9    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:41:02 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:02 PM   11    1.01    0.00    2.02   96.97    0.00    0.00    0.00    0.00    0.00    0.00

01:41:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:03 PM  all    2.65    0.00   23.74    2.90    0.00    7.94    0.00    0.00    0.00   62.77
01:41:03 PM    0    2.08    0.00   13.54    0.00    0.00    7.29    0.00    0.00    0.00   77.08
01:41:03 PM    1    0.00    0.00    4.12    1.03    0.00    0.00    0.00    0.00    0.00   94.85
01:41:03 PM    2    0.00    0.00   11.11    0.00    0.00   12.12    0.00    0.00    0.00   76.77
01:41:03 PM    3    2.04    0.00   11.22    3.06    0.00    0.00    0.00    0.00    0.00   83.67
01:41:03 PM    4    4.04    0.00   23.23    4.04    0.00    7.07    0.00    0.00    0.00   61.62
01:41:03 PM    5    5.15    0.00   37.11    6.19    0.00   13.40    0.00    0.00    0.00   38.14
01:41:03 PM    6    1.03    0.00   10.31    2.06    0.00    4.12    0.00    0.00    0.00   82.47
01:41:03 PM    7    2.06    0.00   18.56    4.12    0.00    9.28    0.00    0.00    0.00   65.98
01:41:03 PM    8    5.00    0.00   64.00    4.00    0.00    8.00    0.00    0.00    0.00   19.00
01:41:03 PM    9    4.12    0.00   28.87    5.15    0.00   14.43    0.00    0.00    0.00   47.42
01:41:03 PM   10    2.11    0.00   23.16    2.11    0.00   10.53    0.00    0.00    0.00   62.11
01:41:03 PM   11    4.04    0.00   38.38    3.03    0.00    9.09    0.00    0.00    0.00   45.45

01:41:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:04 PM  all    2.46    0.00   25.51    2.37    0.00    7.03    0.00    0.00    0.00   62.63
01:41:04 PM    0    3.92    0.00   32.35    0.00    0.00   11.76    0.00    0.00    0.00   51.96
01:41:04 PM    1    2.94    0.00   28.43    8.82    0.00    1.96    0.00    0.00    0.00   57.84
01:41:04 PM    2    0.00    0.00    5.15    0.00    0.00    8.25    0.00    0.00    0.00   86.60
01:41:04 PM    3    0.99    0.00   14.85    2.97    0.00    0.00    0.00    0.00    0.00   81.19
01:41:04 PM    4    0.98    0.00   17.65    3.92    0.00    7.84    0.00    0.00    0.00   69.61
01:41:04 PM    5    3.06    0.00   24.49    3.06    0.00   10.20    0.00    0.00    0.00   59.18
01:41:04 PM    6    5.05    0.00   51.52    0.00    0.00    6.06    0.00    0.00    0.00   37.37
01:41:04 PM    7    0.00    0.00    0.00    0.00    0.00    5.26    0.00    0.00    0.00   94.74
01:41:04 PM    8    5.00    0.00   78.00    0.00    0.00   10.00    0.00    0.00    0.00    7.00
01:41:04 PM    9    5.26    0.00   29.47    7.37    0.00   15.79    0.00    0.00    0.00   42.11
01:41:04 PM   10    2.13    0.00   21.28    2.13    0.00    6.38    0.00    0.00    0.00   68.09
01:41:04 PM   11    0.00    0.00    0.00    0.00    0.00    1.05    0.00    0.00    0.00   98.95

01:41:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:05 PM  all    2.58    0.00   25.06    2.23    0.00    7.04    0.00    0.00    0.00   63.09
01:41:05 PM    0    6.25    0.00   42.71    0.00    0.00    7.29    0.00    0.00    0.00   43.75
01:41:05 PM    1    2.02    0.00   23.23    6.06    0.00    1.01    0.00    0.00    0.00   67.68
01:41:05 PM    2    1.05    0.00    7.37    0.00    0.00    5.26    0.00    0.00    0.00   86.32
01:41:05 PM    3    1.96    0.00   13.73    4.90    0.00    0.98    0.00    0.00    0.00   78.43
01:41:05 PM    4    0.00    0.00    0.00    0.00    0.00    4.17    0.00    0.00    0.00   95.83
01:41:05 PM    5    4.21    0.00   33.68    5.26    0.00   11.58    0.00    0.00    0.00   45.26
01:41:05 PM    6    5.10    0.00   39.80    0.00    0.00    6.12    0.00    0.00    0.00   48.98
01:41:05 PM    7    1.03    0.00    3.09    1.03    0.00    6.19    0.00    0.00    0.00   88.66
01:41:05 PM    8    7.00    0.00   71.00    0.00    0.00   13.00    0.00    0.00    0.00    9.00
01:41:05 PM    9    0.00    0.00   19.35    4.30    0.00    7.53    0.00    0.00    0.00   68.82
01:41:05 PM   10    0.00    0.00   22.92    3.12    0.00   15.62    0.00    0.00    0.00   58.33
01:41:05 PM   11    2.04    0.00   22.45    2.04    0.00    6.12    0.00    0.00    0.00   67.35

01:41:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:06 PM  all    3.07    0.00   25.15    1.96    0.00    6.82    0.00    0.00    0.00   63.00
01:41:06 PM    0    3.09    0.00   10.31    2.06    0.00    7.22    0.00    0.00    0.00   77.32
01:41:06 PM    1    2.94    0.00   31.37    2.94    0.00    1.96    0.00    0.00    0.00   60.78
01:41:06 PM    2    2.06    0.00   14.43    0.00    0.00    9.28    0.00    0.00    0.00   74.23
01:41:06 PM    3    3.06    0.00   21.43    7.14    0.00    0.00    0.00    0.00    0.00   68.37
01:41:06 PM    4    1.04    0.00   14.58    2.08    0.00    4.17    0.00    0.00    0.00   78.12
01:41:06 PM    5    7.14    0.00   43.88    1.02    0.00   12.24    0.00    0.00    0.00   35.71
01:41:06 PM    6    2.06    0.00    8.25    0.00    0.00    2.06    0.00    0.00    0.00   87.63
01:41:06 PM    7    1.03    0.00   16.49    0.00    0.00    7.22    0.00    0.00    0.00   75.26
01:41:06 PM    8    3.00    0.00   59.00    0.00    0.00    9.00    0.00    0.00    0.00   29.00
01:41:06 PM    9    3.23    0.00   11.83    2.15    0.00    8.60    0.00    0.00    0.00   74.19
01:41:06 PM   10    2.00    0.00   36.00    6.00    0.00   15.00    0.00    0.00    0.00   41.00
01:41:06 PM   11    6.12    0.00   31.63    0.00    0.00    5.10    0.00    0.00    0.00   57.14

01:41:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:07 PM  all    2.31    0.00   24.02    2.14    0.00    8.03    0.00    0.00    0.00   63.50
01:41:07 PM    0    4.08    0.00   21.43    5.10    0.00    9.18    0.00    0.00    0.00   60.20
01:41:07 PM    1    0.00    0.00   10.10    2.02    0.00    1.01    0.00    0.00    0.00   86.87
01:41:07 PM    2    0.00    0.00    1.02    0.00    0.00    5.10    0.00    0.00    0.00   93.88
01:41:07 PM    3    5.05    0.00   38.38   10.10    0.00    4.04    0.00    0.00    0.00   42.42
01:41:07 PM    4    3.12    0.00   17.71    3.12    0.00    5.21    0.00    0.00    0.00   70.83
01:41:07 PM    5    6.25    0.00   48.96    0.00    0.00   11.46    0.00    0.00    0.00   33.33
01:41:07 PM    6    1.02    0.00   10.20    2.04    0.00    7.14    0.00    0.00    0.00   79.59
01:41:07 PM    7    2.11    0.00   49.47    0.00    0.00   20.00    0.00    0.00    0.00   28.42
01:41:07 PM    8    0.00    0.00   25.74    0.00    0.00    1.98    0.00    0.00    0.00   72.28
01:41:07 PM    9    1.03    0.00   14.43    2.06    0.00   14.43    0.00    0.00    0.00   68.04
01:41:07 PM   10    1.05    0.00   15.79    1.05    0.00    9.47    0.00    0.00    0.00   72.63
01:41:07 PM   11    4.08    0.00   35.71    0.00    0.00    8.16    0.00    0.00    0.00   52.04

01:41:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:08 PM  all    2.89    0.00   24.85    2.38    0.00    7.32    0.00    0.00    0.00   62.55
01:41:08 PM    0    0.00    0.00    0.00    0.00    0.00    7.14    0.00    0.00    0.00   92.86
01:41:08 PM    1    6.12    0.00   32.65    9.18    0.00    2.04    0.00    0.00    0.00   50.00
01:41:08 PM    2    0.00    0.00    0.99    0.00    0.00    9.90    0.00    0.00    0.00   89.11
01:41:08 PM    3    2.00    0.00   22.00    6.00    0.00    2.00    0.00    0.00    0.00   68.00
01:41:08 PM    4    1.05    0.00   11.58    2.11    0.00    3.16    0.00    0.00    0.00   82.11
01:41:08 PM    5    7.14    0.00   50.00    0.00    0.00   10.20    0.00    0.00    0.00   32.65
01:41:08 PM    6    1.02    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   96.94
01:41:08 PM    7    3.09    0.00   22.68    3.09    0.00   12.37    0.00    0.00    0.00   58.76
01:41:08 PM    8    5.00    0.00   84.00    0.00    0.00   11.00    0.00    0.00    0.00    0.00
01:41:08 PM    9    2.08    0.00   15.62    3.12    0.00   14.58    0.00    0.00    0.00   64.58
01:41:08 PM   10    5.21    0.00   23.96    4.17    0.00    9.38    0.00    0.00    0.00   57.29
01:41:08 PM   11    2.04    0.00   32.65    0.00    0.00    6.12    0.00    0.00    0.00   59.18

01:41:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:09 PM  all    2.56    0.00   24.66    2.99    0.00    7.42    0.00    0.00    0.00   62.37
01:41:09 PM    0    1.00    0.00   13.00    3.00    0.00    8.00    0.00    0.00    0.00   75.00
01:41:09 PM    1    3.03    0.00   27.27    9.09    0.00    2.02    0.00    0.00    0.00   58.59
01:41:09 PM    2    1.05    0.00    9.47    0.00    0.00    7.37    0.00    0.00    0.00   82.11
01:41:09 PM    3    2.06    0.00   42.27   13.40    0.00    2.06    0.00    0.00    0.00   40.21
01:41:09 PM    4    1.00    0.00   17.00    1.00    0.00    7.00    0.00    0.00    0.00   74.00
01:41:09 PM    5    6.25    0.00   29.17    0.00    0.00    8.33    0.00    0.00    0.00   56.25
01:41:09 PM    6    0.00    0.00    8.16    2.04    0.00    4.08    0.00    0.00    0.00   85.71
01:41:09 PM    7    1.06    0.00    8.51    2.13    0.00    5.32    0.00    0.00    0.00   82.98
01:41:09 PM    8    4.04    0.00   57.58    0.00    0.00   10.10    0.00    0.00    0.00   28.28
01:41:09 PM    9    1.03    0.00   11.34    3.09    0.00   14.43    0.00    0.00    0.00   70.10
01:41:09 PM   10    2.02    0.00   16.16    2.02    0.00   13.13    0.00    0.00    0.00   66.67
01:41:09 PM   11    8.16    0.00   55.10    0.00    0.00    7.14    0.00    0.00    0.00   29.59

01:41:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:10 PM  all    2.89    0.00   24.83    2.47    0.00    6.72    0.00    0.00    0.00   63.10
01:41:10 PM    0    0.00    0.00    3.03    1.01    0.00   11.11    0.00    0.00    0.00   84.85
01:41:10 PM    1    4.04    0.00   41.41   12.12    0.00    3.03    0.00    0.00    0.00   39.39
01:41:10 PM    2    8.25    0.00   52.58    0.00    0.00    3.09    0.00    0.00    0.00   36.08
01:41:10 PM    3    2.00    0.00   21.00    3.00    0.00    1.00    0.00    0.00    0.00   73.00
01:41:10 PM    4    1.04    0.00   11.46    0.00    0.00    7.29    0.00    0.00    0.00   80.21
01:41:10 PM    5    2.04    0.00   24.49    5.10    0.00   10.20    0.00    0.00    0.00   58.16
