Linux 6.12.74+deb13+1-amd64 (hd-test01) 	03/17/2026 	_x86_64_	(12 CPU)

01:40:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:40 PM  all    1.25    0.00    0.33   31.64    0.00    0.00    0.00    0.00    0.00   66.78
01:40:40 PM    0    3.06    0.00    1.02   95.92    0.00    0.00    0.00    0.00    0.00    0.00
01:40:40 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:40:40 PM    2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:40:40 PM    3    4.00    0.00    1.00   95.00    0.00    0.00    0.00    0.00    0.00    0.00
01:40:40 PM    4    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:40:40 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:40:40 PM    6    3.03    0.00    1.01   95.96    0.00    0.00    0.00    0.00    0.00    0.00
01:40:40 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:40:40 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:40:40 PM    9    3.03    0.00    1.01   95.96    0.00    0.00    0.00    0.00    0.00    0.00
01:40:40 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:40:40 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:40:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:41 PM  all    2.35    0.00   20.34    7.31    0.00    6.47    0.00    0.00    0.00   63.53
01:40:41 PM    0    1.01    0.00   23.23   16.16    0.00    2.02    0.00    0.00    0.00   57.58
01:40:41 PM    1    1.96    0.00   21.57    0.98    0.00   16.67    0.00    0.00    0.00   58.82
01:40:41 PM    2    1.04    0.00   14.58    8.33    0.00    5.21    0.00    0.00    0.00   70.83
01:40:41 PM    3    0.00    0.00   11.46   10.42    0.00   11.46    0.00    0.00    0.00   66.67
01:40:41 PM    4    0.00    0.00    8.16    0.00    0.00    4.08    0.00    0.00    0.00   87.76
