Linux 6.12.73+deb13-amd64 (ksys) 	03/17/2026 	_x86_64_	(20 CPU)

03:44:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:44:53 PM  all    3.75    0.20    0.45   19.87    0.00    0.00    0.00    0.00    0.00   75.73
03:44:53 PM    0    1.01    0.00    0.00   24.24    0.00    0.00    0.00    0.00    0.00   74.75
03:44:53 PM    1    0.00    0.00    0.00   74.75    0.00    0.00    0.00    0.00    0.00   25.25
03:44:53 PM    2   21.21    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   73.74
03:44:53 PM    3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:53 PM    4    0.00    0.00    0.00   71.43    0.00    0.00    0.00    0.00    0.00   28.57
03:44:53 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:53 PM    6   29.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   70.71
03:44:53 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:53 PM    8    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:44:53 PM    9    1.96    0.00    0.00   25.49    0.00    0.00    0.00    0.00    0.00   72.55
03:44:53 PM   10   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
03:44:53 PM   11    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:53 PM   12    1.96    0.98    0.98    0.00    0.00    0.00    0.00    0.00    0.00   96.08
03:44:53 PM   13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:44:53 PM   14    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:44:53 PM   15    2.91    0.00    1.94    0.00    0.00    0.00    0.00    0.00    0.00   95.15
03:44:53 PM   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:53 PM   17    0.99    0.99    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:44:53 PM   18    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
03:44:53 PM   19    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99

03:44:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:44:54 PM  all    0.90    0.05    0.30   19.82    0.00    0.00    0.00    0.00    0.00   78.93
03:44:54 PM    0    0.99    0.00    0.99   42.57    0.00    0.00    0.00    0.00    0.00   55.45
03:44:54 PM    1    0.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   75.00
03:44:54 PM    2    1.00    0.00    0.00   45.00    0.00    0.00    0.00    0.00    0.00   54.00
03:44:54 PM    3    0.00    0.99    0.00   99.01    0.00    0.00    0.00    0.00    0.00    0.00
03:44:54 PM    4    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03:44:54 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:54 PM    6    1.01    0.00    0.00   10.10    0.00    0.00    0.00    0.00    0.00   88.89
03:44:54 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:54 PM    8    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:44:54 PM    9    1.01    0.00    0.00   75.76    0.00    0.00    0.00    0.00    0.00   23.23
03:44:54 PM   10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:54 PM   11    0.00    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    1.01
03:44:54 PM   12    2.94    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   96.08
03:44:54 PM   13    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:44:54 PM   14    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
03:44:54 PM   15    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:44:54 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:54 PM   17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:54 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:54 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:44:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:44:55 PM  all    0.45    0.00    0.55   19.97    0.00    0.00    0.00    0.00    0.00   79.03
03:44:55 PM    0    0.99    0.00    1.98   60.40    0.00    0.00    0.00    0.00    0.00   36.63
03:44:55 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:55 PM    2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:55 PM    3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:55 PM    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:55 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:55 PM    6    1.00    0.00    0.00   38.00    0.00    0.00    0.00    0.00    0.00   61.00
03:44:55 PM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:55 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:55 PM    9    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:55 PM   10    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:44:55 PM   11    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:55 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:55 PM   13    1.96    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   96.08
03:44:55 PM   14    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:44:55 PM   15    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:44:55 PM   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:55 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:55 PM   18    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:44:55 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:44:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:44:56 PM  all    3.84    0.10    0.60   19.73    0.00    0.05    0.00    0.00    0.00   75.69
03:44:56 PM    0    4.04    0.00    0.00   32.32    0.00    0.00    0.00    0.00    0.00   63.64
03:44:56 PM    1    1.85    0.00    5.56    0.00    0.00    0.00    0.00    0.00    0.00   92.59
03:44:56 PM    2   16.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   83.84
03:44:56 PM    3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:56 PM    4    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:44:56 PM    5    1.92    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   96.15
03:44:56 PM    6    0.00    1.01    0.00   31.31    0.00    0.00    0.00    0.00    0.00   67.68
03:44:56 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:44:56 PM    8   14.71    0.00    0.98   15.69    0.00    0.98    0.00    0.00    0.00   67.65
03:44:56 PM    9    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:56 PM   10   27.27    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   70.71
03:44:56 PM   11    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
03:44:56 PM   12    2.00    0.00    1.00    9.00    0.00    0.00    0.00    0.00    0.00   88.00
03:44:56 PM   13    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:44:56 PM   14    2.94    0.00    0.00    7.84    0.00    0.00    0.00    0.00    0.00   89.22
03:44:56 PM   15    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:44:56 PM   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
