Linux 6.12.74+deb13+1-amd64 (hd-test01) 	03/17/2026 	_x86_64_	(12 CPU)

01:56:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:56:45 PM  all    2.00    0.00    4.34    0.00    0.00    2.75    0.00    0.00    0.00   90.90
01:56:45 PM    0    2.00    0.00    1.00    0.00    0.00    5.00    0.00    0.00    0.00   92.00
01:56:45 PM    1    0.99    0.00    2.97    0.00    0.00    2.97    0.00    0.00    0.00   93.07
01:56:45 PM    2    1.03    0.00    1.03    0.00    0.00    3.09    0.00    0.00    0.00   94.85
01:56:45 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:56:45 PM    4    1.02    0.00    5.10    0.00    0.00    4.08    0.00    0.00    0.00   89.80
01:56:45 PM    5    1.90    0.00   12.38    0.00    0.00    0.95    0.00    0.00    0.00   84.76
01:56:45 PM    6    2.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   89.00
01:56:45 PM    7    2.08    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   96.88
01:56:45 PM    8    3.92    0.00    2.94    0.00    0.00    6.86    0.00    0.00    0.00   86.27
01:56:45 PM    9    5.10    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   88.78
01:56:45 PM   10    1.98    0.00    9.90    0.00    0.00    2.97    0.00    0.00    0.00   85.15
01:56:45 PM   11    1.98    0.00    2.97    0.00    0.00    3.96    0.00    0.00    0.00   91.09

01:56:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:56:46 PM  all    1.70    0.00    9.25    0.00    0.00    6.03    0.00    0.00    0.00   83.02
01:56:46 PM    0    1.02    0.00    3.06    0.00    0.00   12.24    0.00    0.00    0.00   83.67
01:56:46 PM    1    2.00    0.00    4.00    0.00    0.00    5.00    0.00    0.00    0.00   89.00
01:56:46 PM    2    1.02    0.00    5.10    0.00    0.00    9.18    0.00    0.00    0.00   84.69
01:56:46 PM    3    0.98    0.00    5.88    0.00    0.00    2.94    0.00    0.00    0.00   90.20
01:56:46 PM    4    2.00    0.00    9.00    0.00    0.00   12.00    0.00    0.00    0.00   77.00
01:56:46 PM    5    0.00    0.00   20.41    0.00    0.00    1.02    0.00    0.00    0.00   78.57
01:56:46 PM    6    1.94    0.00   15.53    0.00    0.00    5.83    0.00    0.00    0.00   76.70
01:56:46 PM    7    1.09    0.00   11.96    0.00    0.00    0.00    0.00    0.00    0.00   86.96
01:56:46 PM    8    3.06    0.00   10.20    0.00    0.00    8.16    0.00    0.00    0.00   78.57
01:56:46 PM    9    0.00    0.00    6.52    0.00    0.00    2.17    0.00    0.00    0.00   91.30
01:56:46 PM   10    2.04    0.00   10.20    0.00    0.00    6.12    0.00    0.00    0.00   81.63
01:56:46 PM   11    5.05    0.00    9.09    0.00    0.00    7.07    0.00    0.00    0.00   78.79

01:56:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:56:47 PM  all    2.37    0.00    9.57    0.00    0.00    5.50    0.00    0.00    0.00   82.56
01:56:47 PM    0    0.00    0.00    2.17    0.00    0.00    9.78    0.00    0.00    0.00   88.04
01:56:47 PM    1    0.00    0.00    2.13    0.00    0.00    3.19    0.00    0.00    0.00   94.68
01:56:47 PM    2    2.00    0.00    7.00    0.00    0.00    9.00    0.00    0.00    0.00   82.00
01:56:47 PM    3    0.99    0.00    7.92    0.00    0.00    4.95    0.00    0.00    0.00   86.14
