2026/03/17 14:45:18 no config path specified; using /var/lib/derper/derper.key
2026/03/17 14:45:18 STUN server listening on [::]:3478
2026/03/17 14:45:18 No mesh key configured
2026/03/17 14:45:18 derper: serving on :3340 with TLS
2026/03/17 14:45:22 http: TLS handshake error from 10.50.0.2:45054: unexpected EOF
gc 1 @4.616s 0%: 0.12+0.45+0.018 ms clock, 2.5+0.032/1.1/0+0.36 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 2 @4.618s 0%: 0.068+0.44+0.10 ms clock, 1.3+0.43/0.61/0+2.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 3 @4.619s 0%: 0.071+0.48+0.053 ms clock, 1.4+0.30/0.68/0+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 4 @4.620s 0%: 0.037+0.27+0.064 ms clock, 0.75+0.29/0.56/0+1.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 5 @4.621s 0%: 0.074+0.28+0.053 ms clock, 1.4+0.32/0.53/0.007+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 6 @4.622s 0%: 0.094+0.37+0.069 ms clock, 1.8+0.22/0.59/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 7 @4.624s 0%: 0.038+0.31+0.070 ms clock, 0.76+0.20/0.75/0.010+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 8 @4.625s 0%: 0.064+0.39+0.051 ms clock, 1.2+0.35/0.70/0.038+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 9 @4.627s 0%: 0.041+0.39+0.037 ms clock, 0.83+0.27/0.68/0.23+0.75 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 10 @4.628s 0%: 0.054+0.70+0.032 ms clock, 1.0+0.32/0.53/0.011+0.64 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 11 @4.630s 0%: 0.043+0.42+0.087 ms clock, 0.86+0.23/0.57/0.098+1.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 12 @4.631s 0%: 0.058+0.44+0.082 ms clock, 1.1+0.41/0.60/0.004+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 13 @4.632s 0%: 0.033+0.34+0.060 ms clock, 0.66+0.33/0.64/0.012+1.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 14 @4.634s 0%: 0.085+0.29+0.026 ms clock, 1.7+0.20/0.59/0.004+0.53 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 15 @4.635s 0%: 0.077+0.54+0.034 ms clock, 1.5+0.15/0.70/0+0.68 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 16 @4.636s 0%: 0.050+0.52+0.11 ms clock, 1.0+0.42/0.79/0.045+2.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 17 @4.637s 0%: 0.077+0.51+0.077 ms clock, 1.5+0.32/0.66/0.18+1.5 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 18 @4.639s 0%: 0.068+0.35+0.063 ms clock, 1.3+0.33/0.56/0.077+1.2 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 19 @4.640s 0%: 0.072+0.39+0.093 ms clock, 1.4+0.30/0.56/0.011+1.8 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 20 @4.641s 0%: 0.071+0.39+0.058 ms clock, 1.4+0.25/0.59/0.003+1.1 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 21 @4.643s 0%: 0.090+0.73+0.014 ms clock, 1.8+0.30/0.62/0.005+0.29 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 22 @4.644s 0%: 0.062+0.48+0.056 ms clock, 1.2+0.36/0.61/0.002+1.1 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 23 @4.646s 0%: 0.066+0.50+0.063 ms clock, 1.3+0.23/0.82/0.021+1.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 24 @4.647s 0%: 0.068+0.39+0.056 ms clock, 1.3+0.23/0.62/0+1.1 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 25 @4.649s 0%: 0.062+0.34+0.059 ms clock, 1.2+0.21/0.56/0.065+1.1 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 26 @4.650s 0%: 0.035+0.30+0.050 ms clock, 0.70+0.13/0.63/0.12+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 27 @4.651s 0%: 0.072+0.45+0.23 ms clock, 1.4+0.33/0.58/0.006+4.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 28 @4.652s 0%: 0.080+0.31+0.046 ms clock, 1.6+0.41/0.63/0.010+0.93 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
