timestamp,total_cpu_pct,hd_cpu_pct,ts_cpu_pct
1773413640,50.0,1.6,0.0
1773413641,46.5,1.5,0.0
1773413642,49.9,1.5,0.0
1773413643,26.2,1.5,0.0
1773413644,25.6,1.4,0.0
1773413645,50.1,1.4,0.0
1773413646,51.1,1.4,0.6
1773413647,70.3,1.5,8.5
1773413649,71.2,1.5,15.7
1773413650,70.6,1.5,22.3
1773413651,71.3,1.5,28.3
1773413652,70.5,1.6,33.9
1773413653,70.7,1.6,39.0
1773413654,71.0,1.6,43.7
1773413655,70.8,1.6,48.1
1773413656,70.6,1.6,52.2
1773413657,70.9,1.6,56.0
1773413658,70.9,1.6,59.7
1773413659,70.2,1.6,63.0
1773413660,71.5,1.6,66.2
1773413661,62.9,1.7,67.4
1773413662,50.1,1.6,65.5
1773413663,50.1,1.6,63.7
1773413664,30.8,1.6,62.0
1773413665,51.5,2.3,60.4
1773413666,53.1,4.3,58.9
1773413667,53.8,6.2,57.4
1773413668,53.7,8.0,56.0
1773413669,55.6,9.8,54.7
1773413670,53.8,11.4,53.4
1773413671,55.7,12.9,52.2
1773413672,54.0,14.4,51.1
1773413673,57.1,15.8,50.0
1773413674,53.7,17.2,48.9
1773413675,54.6,18.5,47.9
1773413676,56.7,19.8,46.9
1773413677,56.6,20.9,46.0
1773413678,54.8,22.1,45.1
1773413679,52.0,22.3,44.2
1773413680,50.1,21.9,43.4
1773413681,50.2,21.5,42.6
1773413682,50.2,21.1,41.8
1773413683,31.8,20.8,41.1
1773413684,50.0,20.4,40.4
1773413685,50.0,20.1,39.7
1773413686,50.2,19.8,39.0
1773413687,50.1,19.4,38.4
1773413688,50.5,19.1,37.7
1773413689,30.5,18.8,37.1
1773413690,50.1,18.5,36.6
1773413691,39.4,18.3,36.0
1773413692,25.4,18.0,35.4
1773413693,25.4,17.7,34.9
1773413694,25.4,17.5,34.4
1773413695,29.0,17.2,33.9
1773413696,48.0,17.0,33.4
1773413697,50.5,16.7,32.9
1773413698,49.9,16.5,32.5
1773413699,50.1,16.3,32.0
1773413700,50.2,16.1,31.6
1773413701,40.6,15.9,31.2
1773413702,46.3,15.7,30.7
1773413703,50.4,15.5,30.3
1773413704,50.4,15.3,29.9
1773413706,50.0,15.1,29.6
1773413707,39.8,14.9,29.2
1773413708,50.2,14.8,28.8
1773413709,50.4,14.6,28.5
1773413710,25.6,14.4,28.1
1773413711,50.0,14.3,27.8
1773413712,50.1,14.1,27.5
1773413713,31.8,13.9,27.1
1773413714,28.5,13.8,26.8
1773413715,50.1,13.6,26.5
1773413716,28.1,13.5,26.2
1773413717,50.4,13.4,25.9
1773413718,49.9,13.2,25.6
1773413719,35.8,13.1,25.4
1773413720,46.6,13.0,25.1
1773413721,32.8,12.8,24.8
1773413722,29.2,12.7,24.6
1773413723,50.2,12.6,24.3
1773413724,25.8,12.5,24.0
1773413725,50.1,12.3,23.8
1773413726,50.2,12.2,23.6
1773413727,26.1,12.1,23.3
1773413728,25.4,12.0,23.1
1773413729,50.1,11.9,22.9
1773413730,29.1,11.8,22.6
1773413731,50.2,11.7,22.4
1773413732,27.6,11.6,22.2
1773413733,50.1,11.5,22.0
1773413734,48.5,11.4,21.8
