timestamp,total_cpu_pct,hd_cpu_pct,ts_cpu_pct
1773399243,49.9,5.7,0.0
1773399244,36.6,5.7,0.0
1773399245,31.8,5.7,0.0
1773399246,48.3,5.7,0.0
1773399247,41.9,5.7,0.0
1773399248,48.8,5.7,0.0
1773399249,47.6,5.7,0.0
1773399250,45.2,5.7,0.3
1773399252,48.6,5.7,0.7
1773399253,45.0,5.7,1.2
1773399254,44.6,5.7,1.6
1773399255,44.9,5.7,2.0
1773399256,39.4,5.7,2.4
1773399257,43.9,5.7,2.8
1773399258,43.5,5.8,3.2
1773399259,45.8,5.8,3.6
1773399260,46.5,5.8,4.0
1773399261,45.2,5.8,4.4
1773399262,41.1,5.8,4.8
1773399263,45.0,5.8,5.2
1773399264,40.6,5.8,5.5
1773399265,40.8,5.8,5.5
1773399266,42.7,5.8,5.5
1773399267,31.3,5.8,5.5
1773399268,43.7,5.8,5.5
1773399269,40.5,5.8,5.5
1773399270,49.7,6.0,5.5
1773399271,49.9,6.2,5.4
1773399272,49.1,6.4,5.4
1773399273,49.9,6.7,5.4
1773399274,49.7,6.9,5.4
1773399275,49.3,7.1,5.4
1773399276,49.8,7.4,5.4
1773399277,49.5,7.6,5.4
1773399278,49.6,7.8,5.4
1773399279,49.8,8.0,5.3
1773399280,49.8,8.2,5.3
1773399281,49.7,8.4,5.3
1773399282,49.9,8.7,5.3
1773399283,50.1,8.8,5.3
1773399284,42.4,8.8,5.3
1773399285,47.0,8.8,5.3
1773399286,43.8,8.7,5.3
1773399287,37.5,8.7,5.2
1773399288,46.7,8.7,5.5
1773399289,50.6,8.7,6.1
1773399290,51.0,8.7,6.7
1773399291,48.5,8.7,7.2
1773399292,51.3,8.7,7.8
1773399293,50.7,8.7,8.4
1773399294,49.5,8.7,9.0
1773399295,49.3,8.7,9.6
1773399296,49.8,8.7,10.2
1773399297,49.2,8.7,10.7
1773399298,51.6,8.7,11.3
1773399300,50.0,8.7,11.9
1773399301,51.5,8.7,12.5
1773399302,49.4,8.7,13.0
1773399303,40.4,8.7,13.1
1773399304,43.4,8.7,13.1
1773399305,48.2,8.7,13.1
1773399306,45.3,8.7,13.1
1773399307,46.9,8.7,13.0
1773399308,50.1,9.0,13.0
1773399309,49.9,9.4,13.0
1773399310,49.4,9.8,12.9
1773399311,49.4,10.3,12.9
1773399312,48.9,10.7,12.9
1773399313,49.6,11.2,12.9
1773399314,49.6,11.6,12.8
1773399315,49.1,12.0,12.8
1773399316,49.8,12.5,12.8
1773399317,49.7,12.9,12.8
1773399318,49.4,13.3,12.7
1773399319,49.2,13.7,12.7
1773399320,49.2,14.2,12.7
1773399321,49.4,14.6,12.6
1773399322,50.0,14.6,12.6
1773399323,40.0,14.6,12.6
1773399324,49.4,14.6,12.6
1773399325,47.1,14.5,12.5
1773399326,45.3,14.5,12.5
1773399327,57.8,14.5,13.3
1773399328,58.3,14.5,14.2
1773399329,57.0,14.5,15.0
1773399330,58.2,14.5,15.9
1773399331,56.7,14.4,16.7
1773399332,56.1,14.4,17.5
1773399333,58.5,14.4,18.4
1773399334,58.4,14.4,19.2
1773399335,58.1,14.4,20.0
1773399336,59.2,14.4,20.9
1773399337,58.8,14.4,21.7
1773399338,57.9,14.4,22.5
1773399339,59.3,14.3,23.3
1773399340,49.7,14.3,23.9
1773399341,49.8,14.3,23.8
1773399342,40.4,14.3,23.8
1773399343,42.4,14.3,23.7
1773399344,47.5,14.3,23.7
1773399346,48.8,14.4,23.6
1773399347,50.9,15.0,23.6
1773399348,51.6,15.6,23.5
1773399349,52.0,16.1,23.5
1773399350,51.3,16.7,23.4
1773399351,50.7,17.3,23.4
1773399352,51.8,17.9,23.3
1773399353,51.6,18.4,23.3
1773399354,50.5,19.0,23.3
1773399355,50.7,19.5,23.2
1773399356,51.0,20.1,23.2
1773399357,51.5,20.7,23.1
1773399358,50.6,21.2,23.1
1773399359,50.7,21.8,23.0
1773399360,50.8,22.0,23.0
1773399361,46.7,22.0,22.9
1773399362,49.2,21.9,22.9
1773399363,50.0,21.9,22.8
1773399364,46.1,21.9,22.8
1773399365,55.9,21.9,23.3
1773399366,64.0,21.8,24.3
1773399367,65.3,21.8,25.3
1773399368,64.8,21.8,26.4
1773399369,63.7,21.7,27.4
1773399370,64.6,21.7,28.4
1773399371,64.3,21.7,29.4
1773399372,63.6,21.7,30.4
1773399373,64.4,21.6,31.3
1773399374,64.8,21.6,32.3
1773399375,63.6,21.6,33.3
1773399376,64.2,21.6,34.3
1773399377,63.9,21.5,35.3
1773399378,64.6,21.5,36.3
1773399379,35.4,21.5,36.3
1773399380,36.4,21.5,36.2
1773399381,40.7,21.4,36.2
1773399382,41.5,21.4,36.1
1773399383,43.3,21.4,36.0
1773399384,50.5,21.8,36.0
1773399385,52.8,22.4,35.9
1773399386,52.5,23.0,35.8
1773399387,52.8,23.6,35.8
1773399388,51.9,24.1,35.7
1773399389,52.7,24.7,35.6
1773399391,51.7,25.3,35.6
1773399392,53.0,25.8,35.5
1773399393,54.0,26.4,35.4
1773399394,53.2,27.0,35.4
1773399395,53.7,27.5,35.3
1773399396,53.1,28.1,35.2
1773399397,53.5,28.6,35.2
1773399398,52.5,29.1,35.1
1773399399,43.4,29.0,35.0
1773399400,38.9,29.0,35.0
1773399401,37.5,29.0,34.9
1773399402,37.5,28.9,34.8
1773399403,47.6,28.9,35.0
1773399404,70.3,28.8,36.2
1773399405,69.7,28.8,37.4
1773399406,69.9,28.8,38.7
1773399407,69.7,28.7,39.9
1773399408,69.7,28.7,41.1
1773399409,69.7,28.7,42.3
1773399410,70.3,28.6,43.5
1773399411,70.2,28.6,44.7
1773399412,71.0,28.5,45.9
1773399413,71.3,28.5,47.1
1773399414,70.7,28.5,48.3
1773399415,70.9,28.4,49.5
1773399416,70.9,28.4,50.6
1773399417,53.5,28.4,51.2
1773399418,48.4,28.3,51.1
1773399419,43.7,28.3,51.0
1773399420,43.7,28.3,50.9
1773399421,49.8,28.2,50.8
1773399422,47.8,28.5,50.7
1773399423,55.2,29.2,50.6
1773399424,53.8,29.9,50.6
1773399425,54.8,30.6,50.5
1773399426,55.8,31.3,50.4
1773399427,54.1,32.0,50.3
1773399428,53.5,32.6,50.2
1773399429,53.5,33.3,50.1
1773399430,51.9,34.0,50.0
1773399431,52.7,34.6,49.9
1773399432,54.3,35.3,49.9
1773399434,53.2,36.0,49.8
1773399435,52.4,36.7,49.7
1773399436,54.4,37.3,49.6
1773399437,50.7,37.4,49.5
1773399438,49.3,37.4,49.4
1773399439,48.3,37.3,49.3
1773399440,45.6,37.3,49.3
1773399441,43.1,37.2,49.2
1773399442,67.0,37.2,50.2
1773399443,74.1,37.1,51.5
1773399444,74.3,37.1,52.8
1773399445,75.1,37.0,54.1
1773399446,73.7,37.0,55.4
1773399447,73.9,36.9,56.7
1773399448,74.7,36.9,58.0
1773399449,74.0,36.8,59.3
1773399450,74.8,36.8,60.6
1773399451,74.8,36.7,61.8
1773399452,74.1,36.7,63.1
1773399453,74.9,36.6,64.4
1773399454,74.4,36.6,65.7
1773399455,70.8,36.6,66.7
1773399456,40.2,36.5,66.6
1773399457,32.3,36.5,66.5
1773399458,36.8,36.4,66.4
1773399459,42.4,36.4,66.3
1773399460,44.5,36.4,66.2
1773399461,54.8,37.0,66.1
1773399462,54.3,37.6,66.0
1773399463,54.4,38.3,65.9
1773399464,53.7,38.9,65.8
1773399465,55.2,39.5,65.6
1773399466,55.0,40.1,65.5
1773399467,55.0,40.7,65.4
1773399468,55.5,41.3,65.3
1773399469,54.5,42.0,65.2
1773399470,55.2,42.6,65.1
1773399471,54.1,43.2,65.0
1773399472,53.7,43.8,64.9
1773399473,54.7,44.4,64.8
1773399474,53.0,44.7,64.7
1773399475,50.0,44.6,64.6
1773399476,44.5,44.6,64.5
1773399478,49.9,44.5,64.4
1773399479,50.1,44.5,64.3
1773399480,59.2,44.4,64.8
1773399481,76.5,44.3,66.1
1773399482,77.1,44.3,67.4
1773399483,76.4,44.2,68.7
1773399484,76.7,44.2,70.0
1773399485,77.2,44.1,71.3
1773399486,76.8,44.1,72.6
1773399487,77.2,44.0,74.0
1773399488,76.8,44.0,75.2
1773399489,76.9,43.9,76.5
1773399490,76.1,43.8,77.8
1773399491,76.3,43.8,79.1
1773399492,76.7,43.7,80.4
1773399493,76.9,43.7,81.6
1773399494,46.2,43.6,81.8
1773399495,37.5,43.6,81.7
1773399496,40.5,43.5,81.6
1773399497,42.1,43.5,81.4
1773399498,42.7,43.4,81.3
1773399499,50.2,43.8,81.2
1773399500,54.8,44.5,81.1
1773399501,54.7,45.1,80.9
1773399502,55.1,45.7,80.8
1773399503,55.8,46.3,80.7
1773399504,56.0,47.0,80.6
1773399505,55.2,47.6,80.4
1773399506,55.8,48.2,80.3
1773399507,55.7,48.8,80.2
1773399508,55.5,49.4,80.1
1773399509,55.3,50.0,79.9
1773399510,54.9,50.6,79.8
1773399511,55.7,51.2,79.7
1773399512,55.4,51.8,79.6
1773399513,43.8,51.7,79.5
1773399514,49.9,51.7,79.3
1773399515,49.8,51.6,79.2
1773399516,49.9,51.5,79.1
1773399517,42.0,51.5,79.0
1773399518,78.7,51.4,80.4
1773399519,77.9,51.3,81.7
1773399520,78.4,51.3,83.0
1773399522,78.2,51.2,84.4
1773399523,79.1,51.1,85.7
1773399524,78.4,51.1,87.0
1773399525,78.6,51.0,88.4
1773399526,79.7,50.9,89.7
1773399527,78.4,50.9,91.0
1773399528,78.5,50.8,92.3
1773399529,78.9,50.8,93.7
1773399530,78.6,50.7,95.0
1773399531,78.7,50.6,96.3
1773399532,59.6,50.6,97.0
1773399533,35.4,50.5,96.9
1773399534,35.9,50.4,96.8
1773399535,41.0,50.4,96.6
1773399536,48.0,50.3,96.5
1773399537,43.8,50.5,96.3
1773399538,55.0,51.0,96.2
1773399539,54.8,51.6,96.0
1773399540,56.1,52.3,95.9
1773399541,55.8,52.9,95.8
1773399542,55.6,53.5,95.6
1773399543,55.2,54.1,95.5
1773399544,56.8,54.7,95.3
1773399545,55.0,55.3,95.2
1773399546,56.3,55.9,95.1
1773399547,54.9,56.5,94.9
1773399548,55.9,57.1,94.8
1773399549,54.6,57.7,94.7
1773399550,55.6,58.3,94.5
1773399551,51.9,58.5,94.4
1773399552,47.5,58.4,94.2
1773399553,45.2,58.3,94.1
1773399554,47.5,58.2,94.0
1773399555,48.5,58.2,93.8
1773399556,63.8,58.1,94.6
1773399557,78.7,58.0,95.8
1773399558,78.9,57.9,97.1
1773399559,78.4,57.9,98.3
1773399560,78.6,57.8,99.6
1773399561,79.5,57.7,100.0
1773399562,78.5,57.7,102.0
1773399563,78.7,57.6,103.0
1773399565,79.5,57.5,104.0
1773399566,78.1,57.5,105.0
1773399567,78.4,57.4,107.0
1773399568,78.4,57.3,108.0
1773399569,78.8,57.3,109.0
1773399570,78.8,57.2,110.0
1773399571,38.1,57.1,110.0
1773399572,41.9,57.0,110.0
1773399573,35.4,57.0,110.0
1773399574,36.2,56.9,110.0
1773399575,38.2,56.8,110.0
1773399576,52.3,57.4,109.0
1773399577,53.6,57.9,109.0
1773399578,53.0,58.4,109.0
1773399579,53.0,59.0,109.0
1773399580,52.5,59.5,109.0
1773399581,53.3,60.1,109.0
1773399582,53.1,60.7,108.0
1773399583,53.6,61.2,108.0
1773399584,51.8,61.7,108.0
1773399585,53.8,62.2,108.0
1773399586,53.0,62.8,108.0
1773399587,52.7,63.3,108.0
1773399588,53.8,63.8,108.0
1773399589,52.4,64.2,107.0
1773399590,46.9,64.1,107.0
1773399591,41.1,64.0,107.0
1773399592,43.7,64.0,107.0
1773399593,41.0,63.9,107.0
1773399594,41.3,63.8,107.0
1773399595,37.6,63.7,107.0
1773399596,37.4,63.7,106.0
1773399597,39.6,63.6,106.0
1773399598,43.9,63.5,106.0
1773399599,46.9,63.4,106.0
1773399600,31.3,63.3,106.0
1773399601,45.3,63.3,106.0
1773399602,35.0,63.2,106.0
1773399603,31.2,63.1,106.0
1773399604,40.5,63.1,105.0
1773399605,43.6,63.0,105.0
1773399606,48.6,62.9,105.0
1773399607,44.8,62.8,105.0
1773399608,46.1,62.8,105.0
1773399609,49.5,62.7,105.0
1773399610,36.4,62.6,105.0
1773399611,46.9,62.5,105.0
1773399612,50.6,62.5,105.0
1773399614,51.0,62.4,105.0
1773399615,50.5,62.3,105.0
1773399616,51.6,62.3,106.0
1773399617,52.2,62.2,106.0
1773399618,39.1,62.1,106.0
1773399619,39.3,62.0,106.0
1773399620,43.7,62.0,106.0
1773399621,40.6,61.9,105.0
1773399622,42.9,61.8,105.0
