2026/03/14 00:17:10 Running in dev mode.
2026/03/14 00:17:10 STUN server listening on [::]:3478
2026/03/14 00:17:10 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 00:17:10 No mesh key configured for --dev mode
2026/03/14 00:17:10 derper: serving on :3340
gc 1 @33.844s 0%: 0.24+0.62+0.016 ms clock, 3.9+1.4/1.6/0.062+0.26 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @33.846s 0%: 0.15+0.59+0.088 ms clock, 2.4+1.1/1.0/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @33.848s 0%: 0.10+0.65+0.13 ms clock, 1.6+0.85/1.1/0+2.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @33.849s 0%: 0.12+0.60+0.16 ms clock, 1.9+0.50/0.73/0+2.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @33.851s 0%: 0.13+0.56+0.24 ms clock, 2.0+0.70/0.70/0+3.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @33.853s 0%: 0.14+0.73+0.10 ms clock, 2.3+0.73/0.89/0+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @33.855s 0%: 0.15+0.55+0.14 ms clock, 2.5+0.59/0.71/0+2.3 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @33.856s 0%: 0.11+0.56+0.078 ms clock, 1.8+0.41/0.82/0.005+1.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @33.858s 0%: 0.10+0.49+0.14 ms clock, 1.6+0.70/0.74/0+2.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @33.859s 0%: 0.13+0.54+0.20 ms clock, 2.1+0.62/0.76/0.002+3.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @33.861s 0%: 0.16+0.52+0.12 ms clock, 2.6+0.75/0.79/0+2.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @33.863s 0%: 0.13+0.65+0.090 ms clock, 2.1+0.52/1.0/0.002+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @33.864s 0%: 0.14+0.55+0.15 ms clock, 2.2+0.50/0.87/0+2.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 14 @33.866s 0%: 0.13+0.63+0.11 ms clock, 2.1+0.56/0.82/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 15 @33.868s 0%: 0.11+0.50+0.12 ms clock, 1.8+0.48/0.85/0.056+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 16 @33.869s 0%: 0.21+0.46+0.12 ms clock, 3.4+0.63/0.72/0+2.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 17 @33.871s 0%: 0.14+0.55+0.10 ms clock, 2.2+0.54/0.86/0.005+1.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 18 @33.872s 0%: 0.17+0.45+0.12 ms clock, 2.7+0.55/0.78/0+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 19 @33.874s 0%: 0.15+0.63+0.050 ms clock, 2.5+0.53/0.75/0+0.81 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 20 @33.875s 0%: 0.11+0.52+0.077 ms clock, 1.8+0.48/0.85/0+1.2 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 21 @33.877s 0%: 0.10+0.66+0.092 ms clock, 1.6+0.43/0.87/0.041+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
