2026/03/14 08:05:21 Running in dev mode.
2026/03/14 08:05:21 STUN server listening on [::]:3478
2026/03/14 08:05:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 08:05:21 No mesh key configured for --dev mode
2026/03/14 08:05:21 derper: serving on :3340
gc 1 @33.881s 0%: 0.23+1.1+0.029 ms clock, 0.46+0.55/0.84/0+0.059 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 2 @33.901s 0%: 0.024+1.1+0.003 ms clock, 0.048+0.82/0.45/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 3 @33.918s 0%: 0.042+0.98+0.003 ms clock, 0.084+0.68/0.38/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 4 @33.936s 0%: 0.020+0.75+0.028 ms clock, 0.040+0.73/0.32/0+0.056 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 5 @33.954s 0%: 0.015+1.0+0.042 ms clock, 0.030+0.75/0.44/0+0.084 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 6 @33.971s 0%: 0.033+0.78+0.026 ms clock, 0.066+0.68/0.36/0+0.053 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 7 @33.989s 0%: 0.017+0.69+0.045 ms clock, 0.034+0.65/0.36/0+0.090 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 8 @34.007s 0%: 0.026+0.70+0.004 ms clock, 0.053+0.52/0.47/0+0.008 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 9 @34.025s 0%: 0.019+0.78+0.033 ms clock, 0.039+0.58/0.50/0+0.066 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 10 @34.043s 0%: 0.059+0.77+0.013 ms clock, 0.11+0.59/0.45/0+0.027 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 11 @34.062s 0%: 0.048+0.72+0.016 ms clock, 0.096+0.56/0.46/0+0.032 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 12 @34.081s 0%: 0.060+0.73+0.026 ms clock, 0.12+0.73/0.40/0+0.052 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 13 @34.099s 0%: 0.015+0.74+0.022 ms clock, 0.031+0.70/0.42/0+0.044 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 14 @34.118s 0%: 0.017+0.71+0.024 ms clock, 0.034+0.57/0.49/0+0.048 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 15 @34.137s 0%: 0.053+0.90+0.030 ms clock, 0.10+0.46/0.43/0+0.060 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 16 @34.156s 0%: 0.45+0.82+0.008 ms clock, 0.90+0.47/0.49/0+0.017 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 17 @34.175s 0%: 0.019+0.94+0.003 ms clock, 0.039+0.68/0.41/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 18 @34.193s 0%: 0.021+0.85+0.018 ms clock, 0.042+0.51/0.45/0+0.036 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 19 @34.211s 0%: 0.033+0.80+0.004 ms clock, 0.067+0.65/0.45/0+0.009 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 20 @34.230s 0%: 0.025+0.80+0.022 ms clock, 0.050+0.65/0.49/0+0.045 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 21 @34.248s 0%: 0.026+0.71+0.009 ms clock, 0.052+0.70/0.37/0+0.018 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 22 @34.266s 0%: 0.034+0.69+0.039 ms clock, 0.069+0.56/0.53/0+0.078 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 23 @34.285s 0%: 0.010+0.67+0.021 ms clock, 0.020+0.53/0.45/0+0.043 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 24 @34.304s 0%: 0.042+0.84+0.006 ms clock, 0.085+0.64/0.46/0+0.012 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 25 @34.323s 0%: 0.29+0.50+0.003 ms clock, 0.59+0.48/0.45/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 26 @34.342s 0%: 0.020+0.65+0.018 ms clock, 0.041+0.54/0.47/0+0.036 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
