2026/03/14 04:30:22 Running in dev mode.
2026/03/14 04:30:22 STUN server listening on [::]:3478
2026/03/14 04:30:22 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 04:30:22 No mesh key configured for --dev mode
2026/03/14 04:30:22 derper: serving on :3340
gc 1 @33.858s 0%: 0.12+1.2+0.045 ms clock, 0.48+1.3/0.58/0+0.18 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 2 @33.863s 0%: 0.056+1.3+0.047 ms clock, 0.22+0.67/0.71/0+0.18 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 3 @33.869s 0%: 0.081+0.91+0.054 ms clock, 0.32+1.1/0.65/0+0.21 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 4 @33.874s 0%: 0.079+0.81+0.028 ms clock, 0.31+0.93/0.67/0+0.11 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 5 @33.879s 0%: 0.084+0.87+0.015 ms clock, 0.33+0.67/0.76/0+0.063 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 6 @33.884s 0%: 0.064+1.2+0.037 ms clock, 0.25+0.77/0.46/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 7 @33.889s 0%: 0.041+0.94+0.037 ms clock, 0.16+0.77/0.81/0+0.14 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 8 @33.894s 0%: 0.057+1.0+0.061 ms clock, 0.23+0.60/0.63/0+0.24 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 9 @33.899s 0%: 0.27+1.4+0.085 ms clock, 1.0+0.73/0.84/0+0.34 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 10 @33.904s 0%: 0.042+1.3+0.022 ms clock, 0.17+1.5/0.57/0+0.089 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 11 @33.909s 0%: 0.092+0.70+0.079 ms clock, 0.37+0.83/0.64/0+0.31 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 12 @33.914s 0%: 0.082+0.57+0.036 ms clock, 0.32+0.83/0.48/0+0.14 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 13 @33.919s 0%: 0.059+1.9+0.049 ms clock, 0.23+0.75/0.60/0+0.19 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 14 @33.924s 0%: 0.068+0.85+0.023 ms clock, 0.27+0.71/0.63/0+0.095 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
