2026/03/14 22:20:03 no config path specified; using /var/lib/derper/derper.key
2026/03/14 22:20:03 STUN server listening on [::]:3478
2026/03/14 22:20:03 No mesh key configured
2026/03/14 22:20:03 derper: serving on :3340 with TLS
2026/03/14 22:20:07 http: TLS handshake error from 10.10.0.3:37310: unexpected EOF
gc 1 @4.033s 0%: 0.016+2.4+0.038 ms clock, 0.033+0.73/1.1/0+0.076 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 2 @4.043s 0%: 0.063+2.5+0.096 ms clock, 0.12+0.85/0.61/0+0.19 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 3 @4.053s 0%: 0.071+2.9+0.093 ms clock, 0.14+0.80/0.70/0+0.18 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 4 @4.063s 0%: 0.036+1.1+0.003 ms clock, 0.073+0.83/0.53/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 5 @4.073s 0%: 0.032+1.4+0.004 ms clock, 0.065+0.52/0.89/0+0.009 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 6 @4.082s 0%: 0.068+1.3+0.003 ms clock, 0.13+0.68/0.69/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 7 @4.092s 0%: 0.018+2.9+0.004 ms clock, 0.036+0.43/0.35/0+0.008 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 8 @4.102s 0%: 0.065+1.1+0.002 ms clock, 0.13+0.77/0.65/0+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 9 @4.112s 0%: 0.050+1.5+0.022 ms clock, 0.10+0.65/0.88/0+0.045 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 10 @4.122s 0%: 0.049+1.1+0.015 ms clock, 0.098+0.78/0.54/0+0.031 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 11 @4.132s 0%: 0.059+2.4+0.047 ms clock, 0.11+0.77/0.60/0+0.094 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 12 @4.142s 0%: 0.051+1.3+0.013 ms clock, 0.10+0.45/0.75/0+0.027 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 13 @4.152s 0%: 0.056+1.0+0.028 ms clock, 0.11+0.77/0.52/0+0.056 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 14 @4.162s 0%: 0.051+0.99+0.002 ms clock, 0.10+0.56/0.52/0+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 15 @4.171s 0%: 0.014+0.98+0.005 ms clock, 0.029+0.75/0.50/0+0.010 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 16 @4.181s 0%: 0.057+0.96+0.024 ms clock, 0.11+0.70/0.56/0+0.048 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 17 @4.192s 0%: 0.019+0.92+0.002 ms clock, 0.039+0.71/0.48/0+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 18 @4.203s 0%: 0.020+2.7+0.020 ms clock, 0.041+0.72/0.49/0+0.040 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 19 @4.213s 0%: 0.014+1.0+0.018 ms clock, 0.028+0.62/0.59/0+0.037 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 20 @4.223s 0%: 0.045+0.88+0.024 ms clock, 0.091+0.67/0.50/0+0.048 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 21 @4.233s 0%: 0.060+1.1+0.019 ms clock, 0.12+0.60/0.57/0+0.039 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 22 @4.243s 0%: 0.041+1.0+0.004 ms clock, 0.083+0.60/0.64/0+0.008 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 23 @4.253s 0%: 0.048+1.3+0.034 ms clock, 0.097+0.77/0.49/0+0.068 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 24 @4.264s 0%: 0.069+1.0+0.017 ms clock, 0.13+0.70/0.50/0+0.034 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 25 @4.274s 0%: 0.049+1.1+0.023 ms clock, 0.099+0.65/0.71/0+0.046 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 26 @4.284s 0%: 0.020+1.1+0.017 ms clock, 0.040+0.60/0.66/0+0.035 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 27 @4.294s 0%: 0.087+1.0+0.022 ms clock, 0.17+0.59/0.66/0+0.045 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 28 @4.305s 0%: 0.022+0.97+0.003 ms clock, 0.045+0.73/0.50/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 29 @4.314s 0%: 0.014+1.0+0.026 ms clock, 0.029+0.73/0.57/0+0.053 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 30 @4.324s 0%: 0.013+0.79+0.035 ms clock, 0.026+0.63/0.53/0+0.071 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 31 @4.334s 0%: 0.015+0.97+0.003 ms clock, 0.030+0.79/0.49/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 32 @4.343s 0%: 0.043+0.95+0.010 ms clock, 0.086+0.82/0.48/0+0.020 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 33 @4.353s 0%: 0.043+0.92+0.002 ms clock, 0.087+0.75/0.48/0+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 34 @4.363s 0%: 0.016+2.3+0.002 ms clock, 0.033+0.60/0.43/0.077+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 35 @4.374s 0%: 0.044+1.0+0.012 ms clock, 0.088+0.71/0.50/0+0.025 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 36 @4.384s 0%: 0.058+1.0+0.003 ms clock, 0.11+0.60/0.55/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 37 @4.394s 0%: 0.015+0.91+0.025 ms clock, 0.030+0.50/0.57/0+0.050 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 38 @4.404s 0%: 0.041+3.1+0.004 ms clock, 0.082+0.62/0.44/0+0.008 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 39 @4.414s 0%: 0.046+0.96+0.028 ms clock, 0.092+0.77/0.44/0+0.056 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 40 @4.423s 0%: 0.015+0.93+0.040 ms clock, 0.030+0.79/0.47/0+0.081 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 41 @4.433s 0%: 0.035+1.0+0.014 ms clock, 0.070+0.68/0.55/0+0.029 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 42 @4.442s 0%: 0.055+2.6+0.039 ms clock, 0.11+0.58/0.60/0+0.078 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 43 @4.452s 0%: 0.019+2.7+0.004 ms clock, 0.038+0.82/0.50/0+0.008 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 44 @4.462s 0%: 0.075+3.9+0.009 ms clock, 0.15+0.65/0.58/0+0.019 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 45 @4.472s 0%: 0.032+1.0+0.020 ms clock, 0.064+0.71/0.51/0+0.041 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 46 @4.482s 0%: 0.051+0.94+0.034 ms clock, 0.10+0.58/0.63/0+0.069 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 47 @4.491s 0%: 0.055+1.0+0.015 ms clock, 0.11+0.80/0.52/0+0.030 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 48 @4.501s 0%: 0.032+1.3+0.003 ms clock, 0.065+0.60/0.71/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 49 @4.510s 0%: 0.061+2.9+0.005 ms clock, 0.12+0.51/0.67/0+0.010 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 50 @4.520s 0%: 1.2+1.4+0.038 ms clock, 2.4+0.24/1.6/0+0.077 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 51 @4.530s 0%: 0.90+0.50+0.016 ms clock, 1.8+0.59/0.48/0+0.033 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 52 @4.540s 0%: 1.4+1.5+0.022 ms clock, 2.8+0.26/2.0/0+0.044 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 53 @4.550s 0%: 0.040+3.4+0.005 ms clock, 0.081+0.63/0.60/0+0.010 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 54 @4.560s 0%: 0.082+1.0+0.019 ms clock, 0.16+0.65/0.58/0+0.039 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 55 @4.569s 0%: 0.014+1.0+0.031 ms clock, 0.029+0.73/0.59/0+0.063 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 56 @4.579s 0%: 0.054+1.0+0.023 ms clock, 0.10+0.62/0.59/0+0.047 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 57 @4.589s 0%: 0.050+0.91+0.022 ms clock, 0.10+0.75/0.46/0+0.045 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 58 @4.598s 0%: 0.051+0.88+0.003 ms clock, 0.10+0.76/0.50/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 59 @4.609s 0%: 0.074+0.90+0.003 ms clock, 0.14+0.73/0.48/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 60 @4.620s 0%: 0.050+0.93+0.017 ms clock, 0.10+0.69/0.51/0+0.035 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 61 @4.631s 0%: 0.038+1.0+0.015 ms clock, 0.076+0.68/0.52/0+0.030 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 62 @4.642s 0%: 0.040+1.0+0.038 ms clock, 0.081+0.74/0.55/0+0.077 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 63 @4.653s 0%: 0.070+1.0+0.023 ms clock, 0.14+0.73/0.47/0+0.046 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 64 @4.663s 0%: 0.053+1.1+0.003 ms clock, 0.10+0.64/0.58/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 65 @4.674s 0%: 0.055+0.98+0.025 ms clock, 0.11+0.86/0.44/0+0.050 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 66 @4.684s 0%: 0.060+1.3+0.033 ms clock, 0.12+0.47/0.70/0+0.067 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 67 @4.695s 0%: 0.051+0.82+0.034 ms clock, 0.10+0.66/0.50/0+0.069 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 68 @4.706s 0%: 0.87+0.54+0.003 ms clock, 1.7+0.43/0.65/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 69 @4.716s 1%: 0.051+0.95+0.015 ms clock, 0.10+0.69/0.58/0+0.030 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 70 @4.726s 1%: 0.068+0.92+0.010 ms clock, 0.13+0.72/0.51/0+0.020 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 71 @4.737s 1%: 0.047+0.97+0.039 ms clock, 0.094+0.68/0.57/0+0.079 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 72 @4.749s 1%: 0.053+1.4+0.014 ms clock, 0.10+0.43/0.78/0+0.029 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 73 @4.760s 1%: 0.039+0.97+0.003 ms clock, 0.079+0.69/0.49/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 74 @4.771s 1%: 0.016+1.0+0.003 ms clock, 0.032+0.75/0.43/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 75 @4.781s 1%: 0.62+3.5+0.004 ms clock, 1.2+0.18/1.6/0+0.009 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 76 @4.792s 1%: 1.2+1.8+0.003 ms clock, 2.4+0.30/1.8/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 77 @4.802s 1%: 0.60+2.2+0.003 ms clock, 1.2+0.27/0.72/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 78 @4.813s 1%: 0.050+0.91+0.003 ms clock, 0.10+0.67/0.43/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 79 @4.823s 1%: 0.047+1.1+0.007 ms clock, 0.095+0.42/0.64/0+0.014 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 80 @4.833s 1%: 0.034+1.2+0.021 ms clock, 0.069+0.71/0.70/0+0.043 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 81 @4.843s 1%: 0.047+1.3+0.027 ms clock, 0.095+0.45/0.67/0+0.054 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 82 @4.854s 1%: 1.2+1.9+0.004 ms clock, 2.4+0.40/0.71/0+0.009 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 83 @4.864s 1%: 0.043+0.81+0.009 ms clock, 0.086+0.69/0.47/0+0.019 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 84 @4.873s 1%: 0.043+0.93+0.024 ms clock, 0.086+0.76/0.49/0+0.048 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 85 @4.883s 1%: 0.064+3.1+0.003 ms clock, 0.12+0.58/0.65/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 86 @4.893s 1%: 0.035+0.84+0.016 ms clock, 0.071+0.71/0.46/0+0.032 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 87 @4.903s 1%: 0.044+1.3+0.003 ms clock, 0.088+0.47/0.73/0+0.007 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 88 @4.913s 1%: 0.017+3.0+0.003 ms clock, 0.035+0.44/0.31/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 89 @4.923s 1%: 0.019+3.2+0.067 ms clock, 0.039+0.68/0.60/0+0.13 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 90 @4.933s 1%: 0.043+0.95+0.017 ms clock, 0.086+0.72/0.54/0+0.035 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 91 @4.942s 1%: 0.022+1.1+0.029 ms clock, 0.045+0.71/0.53/0+0.059 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 92 @4.952s 1%: 0.92+2.3+0.012 ms clock, 1.8+0.26/2.7/0+0.024 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 93 @4.962s 1%: 0.050+1.0+0.036 ms clock, 0.10+0.71/0.62/0+0.072 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 94 @4.971s 1%: 0.073+1.1+0.014 ms clock, 0.14+0.63/0.72/0+0.029 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 95 @4.981s 1%: 0.062+2.4+0.004 ms clock, 0.12+0.53/0.62/0+0.008 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 96 @4.992s 1%: 0.064+0.99+0.023 ms clock, 0.12+0.61/0.52/0+0.046 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 97 @5.002s 1%: 0.020+1.1+0.027 ms clock, 0.041+0.65/0.69/0+0.054 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 98 @5.012s 1%: 0.85+2.1+0.015 ms clock, 1.7+0.35/2.2/0+0.031 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 99 @5.022s 1%: 0.024+0.99+0.015 ms clock, 0.049+0.81/0.48/0+0.031 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 100 @5.032s 1%: 0.049+0.93+0.024 ms clock, 0.098+0.80/0.43/0+0.049 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 101 @5.042s 1%: 0.039+2.9+0.003 ms clock, 0.078+0.67/0.51/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 102 @5.052s 1%: 0.048+1.0+0.020 ms clock, 0.096+0.61/0.61/0+0.040 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 103 @5.062s 1%: 0.054+1.1+0.021 ms clock, 0.10+0.57/0.64/0+0.042 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 104 @5.071s 1%: 0.018+1.1+0.026 ms clock, 0.036+0.60/0.61/0+0.052 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 105 @5.081s 1%: 0.059+1.0+0.003 ms clock, 0.11+0.59/0.59/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 106 @5.090s 1%: 1.5+1.9+0.003 ms clock, 3.1+0.33/1.1/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 107 @5.100s 1%: 0.020+0.96+0.002 ms clock, 0.041+0.58/0.56/0+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 108 @5.110s 1%: 0.023+0.90+0.035 ms clock, 0.046+0.78/0.44/0+0.071 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 109 @5.120s 1%: 0.048+1.1+0.024 ms clock, 0.096+0.68/0.54/0+0.049 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 110 @5.130s 1%: 0.089+1.5+0.013 ms clock, 0.17+0.52/1.0/0+0.026 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 111 @5.139s 1%: 0.017+1.0+0.023 ms clock, 0.034+0.69/0.52/0+0.046 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
